,datetime,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,hr_sin,hr_cos,week_sin,week_cos,mnth_sin,mnth_cos,is_peak_hour,weather_hr,temp_hr,temp_hum
0,2011-01-08 07:00:00,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9,0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,1,14,1.12,0.1184
1,2011-01-08 08:00:00,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,1,24,1.28,0.1488
2,2011-01-08 09:00:00,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,1,27,1.44,0.1488
3,2011-01-08 10:00:00,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,20,1.7999999999999998,0.144
4,2011-01-08 11:00:00,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,22,2.2,0.1379999999999999
5,2011-01-08 12:00:00,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,24,2.4000000000000004,0.118
6,2011-01-08 13:00:00,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102,-0.2588190451025208,-0.9659258262890684,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,13,2.6,0.088
7,2011-01-08 14:00:00,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,14,2.8000000000000003,0.064
8,2011-01-08 15:00:00,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,15,3.0,0.064
9,2011-01-08 16:00:00,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,16,2.88,0.0521999999999999
10,2011-01-08 17:00:00,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,1,17,2.72,0.0592
11,2011-01-08 18:00:00,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55,-1.0,-1.8369701987210294e-16,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,1,18,2.5200000000000005,0.0546
12,2011-01-08 19:00:00,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,1,19,2.66,0.0504
13,2011-01-08 20:00:00,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,20,2.4,0.0431999999999999
14,2011-01-08 21:00:00,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,21,2.52,0.0468
15,2011-01-08 22:00:00,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,22,2.64,0.0431999999999999
16,2011-01-08 23:00:00,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,23,2.3000000000000003,0.039
17,2011-01-09 00:00:00,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25,0.0,1.0,0.0,1.0,0.4999999999999999,0.8660254037844387,0,0,0.0,0.042
18,2011-01-09 01:00:00,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,0.2588190451025207,0.9659258262890684,0.0,1.0,0.4999999999999999,0.8660254037844387,0,1,0.1,0.042
19,2011-01-09 02:00:00,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,0.4999999999999999,0.8660254037844387,0.0,1.0,0.4999999999999999,0.8660254037844387,0,2,0.2,0.046
20,2011-01-09 03:00:00,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,0.7071067811865476,0.7071067811865476,0.0,1.0,0.4999999999999999,0.8660254037844387,0,3,0.3,0.046
21,2011-01-09 04:00:00,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0.4999999999999999,0.8660254037844387,0,4,0.32,0.0424
22,2011-01-09 05:00:00,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1,0.9659258262890684,0.2588190451025207,0.0,1.0,0.4999999999999999,0.8660254037844387,0,5,0.4,0.0424
23,2011-01-09 06:00:00,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1,1.0,6.123233995736766e-17,0.0,1.0,0.4999999999999999,0.8660254037844387,0,6,0.6000000000000001,0.049
24,2011-01-09 07:00:00,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,6,0.9659258262890684,-0.2588190451025206,0.0,1.0,0.4999999999999999,0.8660254037844387,1,7,0.56,0.0424
25,2011-01-09 08:00:00,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.4999999999999999,0.8660254037844387,1,8,0.8,0.049
26,2011-01-09 09:00:00,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.4999999999999999,0.8660254037844387,1,9,1.08,0.0552
27,2011-01-09 10:00:00,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49,0.4999999999999999,-0.8660254037844387,0.0,1.0,0.4999999999999999,0.8660254037844387,0,10,1.4,0.0602
28,2011-01-09 11:00:00,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49,0.258819045102521,-0.9659258262890682,0.0,1.0,0.4999999999999999,0.8660254037844387,0,11,1.76,0.064
29,2011-01-09 12:00:00,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83,1.2246467991473532e-16,-1.0,0.0,1.0,0.4999999999999999,0.8660254037844387,0,12,2.16,0.0665999999999999
30,2011-01-09 13:00:00,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75,-0.2588190451025208,-0.9659258262890684,0.0,1.0,0.4999999999999999,0.8660254037844387,0,13,2.6,0.068
31,2011-01-09 14:00:00,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.4999999999999999,0.8660254037844387,0,14,3.08,0.0704
32,2011-01-09 15:00:00,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,82,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.4999999999999999,0.8660254037844387,0,15,3.3,0.077
33,2011-01-09 16:00:00,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.4999999999999999,0.8660254037844387,0,16,3.2,0.068
34,2011-01-09 17:00:00,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62,-0.9659258262890684,-0.2588190451025206,0.0,1.0,0.4999999999999999,0.8660254037844387,1,17,3.06,0.0665999999999999
35,2011-01-09 18:00:00,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48,-1.0,-1.8369701987210294e-16,0.0,1.0,0.4999999999999999,0.8660254037844387,1,18,2.88,0.064
36,2011-01-09 19:00:00,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.4999999999999999,0.8660254037844387,1,19,3.04,0.0688
37,2011-01-09 20:00:00,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.4999999999999999,0.8660254037844387,0,20,2.8000000000000003,0.0644
38,2011-01-09 21:00:00,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.4999999999999999,0.8660254037844387,0,21,2.9400000000000004,0.0644
39,2011-01-09 22:00:00,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.4999999999999999,0.8660254037844387,0,22,3.08,0.0644
40,2011-01-09 23:00:00,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6,-0.2588190451025215,0.965925826289068,0.0,1.0,0.4999999999999999,0.8660254037844387,0,23,2.76,0.06
41,2011-01-10 00:00:00,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5,0.0,1.0,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0,0,0.0,0.06
42,2011-01-10 01:00:00,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0.2588190451025207,0.9659258262890684,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0,1,0.12,0.06
43,2011-01-10 02:00:00,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0,2,0.24,0.06
44,2011-01-10 03:00:00,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0,3,0.36,0.06
45,2011-01-10 04:00:00,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0,4,0.4,0.054
46,2011-01-10 05:00:00,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3,0.9659258262890684,0.2588190451025207,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0,5,0.5,0.054
47,2011-01-10 06:00:00,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0,6,0.72,0.06
48,2011-01-10 07:00:00,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77,0.9659258262890684,-0.2588190451025206,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,1,7,0.84,0.06
49,2011-01-10 08:00:00,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,1,16,0.96,0.06
